State or Territory,Number with Current Asthma,Percent with Current Asthma,,,,
Alabama,"365,041",9.7,,,,
Alaska,"48,398",8.8,,,,
Arizona,"491,794",9.4,,,,
Arkansas,"193,863",8.5,,,,
California,"2,366,008",7.8,,,,
Colorado,"374,598",8.8,,,,
Connecticut,"295,601",10.5,,,,
Delaware,"63,617",8.5,,,,
District of Columbia,"55,365",9.9,,,,
Florida,"1,109,768",6.7,,,,
Georgia,"666,285",8.5,,,,
Hawaii,"120,293",10.7,,,,
Idaho,"115,109",9.3,,,,
Illinois,"879,704",8.9,,,,
Indiana,"514,349",10.2,,,,
Iowa,"187,872",7.8,,,,
Kansas,"193,078",8.8,,,,
Kentucky,"394,686",11.6,,,,
Louisiana,"297,349",8.4,,,,
Maine,"130,992",12.2,,,,
Maryland,"439,666",9.4,,,,
Massachusetts,"560,739",10.3,,,,
Michigan,"841,111",10.9,,,,
Minnesota,"321,439",7.6,,,,
Mississippi,"181,044",8,,,,
Missouri,"463,150",9.9,,,,
Montana,"69,403",8.5,,,,
Nebraska,"118,932",8.3,,,,
Nevada,"179,986",7.9,,,,
New Hampshire,"121,566",11.4,,,,
New Jersey,"573,506",8.2,,,,
New Mexico,"185,678",11.8,,,,
New York,"1,474,062",9.5,,,,
North Carolina,"630,864",8,,,,
North Dakota,"53,028",9,,,,
Ohio,"873,284",9.7,,,,
Oklahoma,"293,910",10,,,,
Oregon,"335,445",10.5,,,,
Pennsylvania,"1,070,258",10.6,,,,
Rhode Island,"90,375",10.7,,,,
South Carolina,"340,518",8.8,,,,
South Dakota,"40,253",6.2,,,,
Tennessee,"559,423",10.9,,,,
Texas,"1,584,264",7.6,,,,
Utah,"175,360",8.3,,,,
Vermont,"51,211",10.2,,,,
Virginia,"560,419",8.6,,,,
Washington,"538,758",9.6,,,,
West Virginia,"171,816",11.8,,,,
Wisconsin,"381,108",8.5,,,,
Wyoming,"42,717",9.5,,,,
Guam,"5,486",5.1,,,,
Puerto Rico,"298,918",10.7,,,,
Virgin Islands,"5,011",6.3,,,,
