State or Territory,Number with Current Asthma,Percent with Current Asthma,,,,
Alabama,"409,623",10.9,,,,
Alaska,"46,863",8.4,,,,
Arizona,"529,155",9.8,,,,
Arkansas,"219,001",9.6,,,,
California,"2,398,304",7.9,,,,
Colorado,"404,012",9.3,,,,
Connecticut,"299,336",10.7,,,,
Delaware,"79,827",10.6,,,,
District of Columbia,"52,814",9.4,,,,
Florida,"1,258,262",7.5,,,,
Georgia,"663,053",8.4,,,,
Hawaii,"109,177",9.8,,,,
Idaho,"113,842",9.0,,,,
Illinois,"808,252",8.2,,,,
Indiana,"509,205",10.0,,,,
Iowa,"223,269",9.3,,,,
Kansas,"199,738",9.1,,,,
Kentucky,"367,763",10.7,,,,
Louisiana,"319,238",9.0,,,,
Maine,"119,995",11.2,,,,
Maryland,"440,338",9.4,,,,
Massachusetts,"621,312",11.5,,,,
Michigan,"837,016",10.8,,,,
Minnesota,"310,955",7.3,,,,
Mississippi,"187,772",8.3,,,,
Missouri,"442,086",9.4,,,,
Montana,"74,843",9.1,,,,
Nebraska,"118,181",8.2,,,,
Nevada,"240,247",10.4,,,,
New Hampshire,"142,205",13.2,,,,
New Jersey,"600,483",8.6,,,,
New Mexico,"165,265",10.5,,,,
New York,"1,426,161",9.2,,,,
North Carolina,"730,767",9.2,,,,
North Dakota,"50,524",8.6,,,,
Ohio,"888,520",9.9,,,,
Oklahoma,"285,215",9.6,,,,
Oregon,"353,411",10.9,,,,
Pennsylvania,"1,021,687",10.1,,,,
Rhode Island,"103,853",12.3,,,,
South Carolina,"361,086",9.2,,,,
South Dakota,"48,077",7.3,,,,
Tennessee,"517,735",10.0,,,,
Texas,"1,543,064",7.3,,,,
Utah,"192,523",8.9,,,,
Vermont,"59,012",11.8,,,,
Virginia,"581,200",8.9,,,,
Washington,"603,962",10.5,,,,
West Virginia,"182,240",12.7,,,,
Wisconsin,"428,991",9.5,,,,
Wyoming,"40,805",9.1,,,,
Guam,"7,892",7.4,,,,
Puerto Rico,"334,638",12.1,,,,
